"FECHA_SINTOMAS","n"
"2021-07-07","30226"
"2021-07-08","27334"
"2021-07-09","29109"
"2021-07-10","34367"
"2021-07-11","26646"
"2021-07-12","40458"
"2021-07-13","36986"
"2021-07-14","34881"
"2021-07-15","38160"
"2021-07-16","38153"
"2021-07-17","34230"
"2021-07-18","34596"
"2021-07-19","52432"
"2021-07-20","54418"
"2021-07-21","42533"
"2021-07-22","42219"
"2021-07-23","43931"
"2021-07-24","38822"
"2021-07-25","43902"
"2021-07-26","55537"
"2021-07-27","51573"
"2021-07-28","47153"
"2021-07-29","43127"
"2021-07-30","46769"
"2021-07-31","36924"
"2021-08-01","51164"
"2021-08-02","56668"
"2021-08-03","49927"
"2021-08-04","46799"
"2021-08-05","48276"
"2021-08-06","47279"
"2021-08-07","41843"
"2021-08-08","44549"
"2021-08-09","57646"
"2021-08-10","59873"
"2021-08-11","47147"
"2021-08-12","45400"
"2021-08-13","46344"
"2021-08-14","39898"
"2021-08-15","43114"
"2021-08-16","53515"
"2021-08-17","46465"
"2021-08-18","45069"
"2021-08-19","39842"
"2021-08-20","50808"
"2021-08-21","31135"
"2021-08-22","31457"
"2021-08-23","43472"
"2021-08-24","37855"
"2021-08-25","38442"
"2021-08-26","33039"
"2021-08-27","33440"
"2021-08-28","31726"
"2021-08-29","28155"
"2021-08-30","41444"
"2021-08-31","32797"
"2021-09-01","40966"
"2021-09-02","31464"
"2021-09-03","33500"
"2021-09-04","27202"
"2021-09-05","28195"
"2021-09-06","37118"
"2021-09-07","32691"
"2021-09-08","29787"
"2021-09-09","28853"
"2021-09-10","35763"
"2021-09-11","22306"
"2021-09-12","21902"
"2021-09-13","29291"
"2021-09-14","25579"
"2021-09-15","28354"
"2021-09-16","18739"
"2021-09-17","29872"
"2021-09-18","24601"
"2021-09-19","25182"
"2021-09-20","38877"
"2021-09-21","28298"
"2021-09-22","26607"
"2021-09-23","24215"
"2021-09-24","26101"
"2021-09-25","23474"
"2021-09-26","20509"
"2021-09-27","29281"
"2021-09-28","24570"
"2021-09-29","22077"
"2021-09-30","20351"
"2021-10-01","28204"
"2021-10-02","19838"
"2021-10-03","19062"
"2021-10-04","25682"
"2021-10-05","22846"
"2021-10-06","20646"
"2021-10-07","18948"
"2021-10-08","21488"
"2021-10-09","19631"
"2021-10-10","24257"
"2021-10-11","24549"
"2021-10-12","20832"
"2021-10-13","19814"
